Name,"Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description,"Image File"
"F1 Minipop                      (1), Va, Vd and Mj.",leek,105,56,No,21,"Variety code: VSW090",
"Ornamental Fiesta               VTO014 Sweet Aperitif                  VTO024 F1 Honeycomb",leek,120,56,No,21,"Variety code: VSW056",
"Rubinka                                  Trilly",leek,120,56,No,21,,
"F1 Trilly",leek,120,56,No,21,"Variety code: VTO032",
"A mini San Marzano type that",leek,105,56,No,21,,
"Resistant to Fol",leek,120,56,No,21,,
Cherrola,leek,120,56,No,21,,
Bottondoro,leek,120,56,No,21,,
Rubinka,leek,120,56,No,21,"Variety code: VTO272",
"An early maturing variety that",leek,105,56,No,21,,
"F1 Sungold                          sized fruits. Trusses are long and",leek,140,56,No,21,"Variety code: VTO305",
Small,leek,120,56,No,21,,
"Black Cherry                     eaten fresh from the plant. Ideal",leek,120,56,No,21,"Variety code: VTO020",
"An old variety that still has a",leek,120,56,No,21,,
"F1 Crokini                              Floridity",leek,120,56,No,21,"Variety code: VTO122",
"A sweet",leek,120,56,No,21,,
Fol,leek,120,56,No,21,,
"F1 Golden Ruby                  complex flavour that has proved to be",leek,120,56,No,21,"Variety code: VTO236",
"An indeterminate variety that",leek,120,56,No,21,,
"F1 Miele",leek,120,56,No,21,"Variety code: VTO025",
"F1 Santa Victoria                   (not shown)",leek,120,56,No,21,"Variety code: VTO128",
"VTO012                                                 grape                12-14                 red                                                                                     sweet, sharp flavour",leek,120,56,No,21,"Variety code: Sungrape F1",
"VTO010                                                 cherry plum             14-16                 red                                                                                     prolific cropper, good shelf life",leek,120,56,No,21,"Variety code: Modus F1",
"VTO350                                                 cherry                14-16                 red                                                                                       excellent flavour",leek,120,56,No,21,"Variety code: Tremolo F1",
"VTO024                                               cherry                14-16               orange                                                                                    great flavour with less splitting",leek,120,56,No,21,"Variety code: Honeycomb F1",
"VTO026                                               cherry                14-16               orange                                                                                    blight resistant with good flavour",leek,120,56,No,21,"Variety code: Merrygold F1",
"VTO278                                                  mini oval             14-18                 red                                                                                     attractive mini oval shape",leek,105,56,No,21,"Variety code: Allure F1",
"VTO305                                                  cherry               14-18               orange                                                                                    orange fruit with excellent flavour",leek,120,56,No,21,"Variety code: Sungold F1",
"VTO122                                                 cherry                14-18                red                                                                                      sweet flavour; AAS winner",leek,120,56,No,21,"Variety code: Crokini F1",
"VTO132                                              mini plum              15-20                red                                                                                      large yield of sweet flavoured fruits",leek,105,56,No,21,"Variety code: Floridity F1",
"VTO025                                                  mini plum              15-20              yellow                                                                                     attractive colour, sweet flavour",leek,105,56,No,21,"Variety code: Miele F1",
"VTO030                                              round                 15-20              orange                                                                                     high sugar content, excellent flavour",leek,120,56,No,21,"Variety code: Bottondoro F1",
"VTO032                                                cherry plum             20-25                 red                                                                                     distinctive shape and flavour",leek,120,56,No,21,"Variety code: Trilly F1",
"VTO034                                                  cocktail            20-30                red                                                                                      attractive, heavily laden clusters",leek,120,56,No,21,"Variety code: Cherrola F1",
"VTO054                                                    round              65-85                red                                                                                      can be harvested as clusters",leek,120,56,No,21,"Variety code: Gallant F1",
"VTO110                                                    round              70-90                red                                                                                       suitable for cool protected production",leek,120,56,No,21,"Variety code: Shirley F1",
"VTO080                                                    round              75-85                red                                                                                        suitable for cool protected production",leek,120,56,No,21,"Variety code: Pannovy F1",
"VTO078                                       New            round              90-110               red                                                                                       an improved Shirley type",leek,120,56,No,21,"Variety code: Bauna F1",
"VTO120                                                  flat round           100-130               red                                                                                       suited to cool protected production",leek,120,56,No,21,"Variety code: Sparta F1",
"VTO134 & VOG725              organic option New            round             130-145               red                                                                                       early cropper",leek,105,56,No,21,"Variety code: Cindel F1",
"VTO225                                                      round             130-145               red                                                                                      long shelf life, resists splitting",leek,140,56,No,21,"Variety code: Akron F1",
"VTO450                                            beefsteak           250-350+               red                                                                                      large, juicy red fruits; seedless",leek,120,56,No,21,"Variety code: Buffalosteak F1",
"VTO452                                              beefsteak           250-350+           yellow/red                                                                                   heirloom character with hybrid vigour",leek,120,56,No,21,"Variety code: Buffalosun F1",
"VTO448                                                beefsteak           900-1400               red                                                                                      huge tasty fruits",leek,120,56,No,21,"Variety code: Knockout F1",
"VTO610                                                      n/a                 n/a                n/a                                                                                        rootstock",leek,120,56,No,21,"Variety code: Arnold F1",
"VTO615                                                   n/a                 n/a                n/a                                                                                        rootstock",leek,120,56,No,21,"Variety code: Protector F1",
"Honey Delight",leek,120,56,No,21,,
"Ailsa Craig (not shown)                                        VTO250 Moneymaker                                                            Pannovy",leek,120,56,No,21,"Variety code: VTO180",
"F1 Honey Delight",leek,120,56,No,21,"Variety code: VTO062",
"A vigorous and well proven variety",leek,120,56,No,21,,
"Very high quality fruit with bright red",leek,120,56,No,21,,
Gallant,leek,120,56,No,21,,
"We could not fit all our",leek,120,56,No,21,,
Bauna,leek,120,56,No,21,,
"F1 Orange",leek,120,56,No,21,"Variety code: VTO446",
Wellington,leek,120,56,No,21,,
"F1 Bauna NEW                                                                 VTO150 F1 Golden Shine                  Smooth, orange fruit with vibrant",leek,120,56,No,21,"Variety code: VTO078",
"Resistant to splitting",leek,120,56,No,21,,
"Super Marmande",leek,120,56,No,21,,
"F1 Buffalosteak",leek,120,56,No,21,"Variety code: VTO450",
"A quality hybrid producing large",leek,120,56,No,21,,
"F1 Sparta                                                                                                            Fruits typically 250-350 grams in",leek,120,56,No,21,"Variety code: VTO120",
"Very well flavoured",leek,120,56,No,21,,
Buffalosun,leek,120,56,No,21,,
"Crop failure",leek,120,56,No,21,,
Cindel,leek,120,56,No,21,,
"Crimson Crush",leek,120,56,No,21,,
"Big Pink",leek,120,56,No,21,,
"F1 Buffalosun",leek,120,56,No,21,"Variety code: VTO452",
"All the character and flavour of",leek,120,56,No,21,,
"F1 Cindel NEW                                                                                                        an heirloom variety but with the",leek,120,56,No,21,"Variety code: VTO134",
"Early cropping variety suited to",leek,105,56,No,21,,
"Late blight tolerant",leek,140,56,No,21,,
"F1 Crimson Crush                                                            large, fleshy, ribbed, Beefsteak",leek,120,56,No,21,"Variety code: VTO405",
"F1 Cindel                         semi-determinate variety if needed.        (1-3), Fol (0&1) and Va (0).            Va, Vd, Pi, TSWV (T0).",leek,120,56,No,21,"Variety code: VOG725",
Determinate,leek,120,56,No,21,,
"Veranda                                    T",leek,120,56,No,21,,
"Balconi Yellow",leek,120,56,No,21,,
"F1 Veranda",leek,120,56,No,21,"Variety code: VTO484",
"F1 Knockout                                                                                                                          fruits are cherry sized with an attractive",leek,120,56,No,21,"Variety code: VTO448",
"F1 Big Daddy                                               This variety produces probably the",leek,120,56,No,21,"Variety code: VTO436",
"Cherry Falls",leek,120,56,No,21,,
"Code                            Pathogen",leek,120,56,No,21,,
"Using a roostock can improve",leek,120,56,No,21,,
Pst,leek,120,56,No,21,,
"Pseudomonas syringae pv",leek,120,56,No,21,,
Xcv,leek,120,56,No,21,,
For,leek,120,56,No,21,,
"Vd                         Verticillium dahliae",leek,120,56,No,21,,
Nematodes,leek,120,56,No,21,,
ToMV,leek,120,56,No,21,,
"Mj                       Meloidogyne javanica",leek,120,56,No,21,,
"TYLCV                   Tomato yellow leaf curl",leek,120,56,No,21,,
Tomato,leek,120,56,No,21,,
Baskets,leek,120,56,No,21,,
Containers,leek,120,56,No,21,,
"VTO484                                              cherry               12-16                 red                                                                                                       versatile container variety",leek,120,56,No,21,"Variety code: Veranda F1",
"VTO320                                              cherry               12-16                 red                                                                                                      cascading habit for baskets and pots",leek,120,56,No,21,"Variety code: Tumbler F1",
"VTO520                                              cherry               14-18                 red                                                                                                       a credible alternative to Tumbler",leek,120,56,No,21,"Variety code: Terenzo F1",
"VTO530                                             cocktail             25-35               orange                                                                                                      intensely sweet fruits",leek,120,56,No,21,"Variety code: Orangeto F1",
"VTO310                                                 round               60-80                 red                                                                                                       dwarf variety, masses of tasty fruits",leek,120,56,No,21,"Variety code: Totem F1",
"VTO590                                             round             160-180                 red                                                                                                      ideal for containers and patios",leek,120,56,No,21,"Variety code: BushSteak F1",
