Name,"Variety Code","Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description
"VTO350                                                 cherry                14-16                 red                                                                                       excellent flavour","Tremolo F1",sweetcorn,85,0,Yes,14,"Variety code: Tremolo F1"
"VTO024                                               cherry                14-16               orange                                                                                    great flavour with less splitting","Honeycomb F1",sweetcorn,85,0,Yes,14,"Variety code: Honeycomb F1"
"VTO026                                               cherry                14-16               orange                                                                                    blight resistant with good flavour","Merrygold F1",sweetcorn,85,0,Yes,14,"Variety code: Merrygold F1"
"VTO278                                                  mini oval             14-18                 red                                                                                     attractive mini oval shape","Allure F1",sweetcorn,70,0,Yes,14,"Variety code: Allure F1"
"VTO305                                                  cherry               14-18               orange                                                                                    orange fruit with excellent flavour","Sungold F1",sweetcorn,85,0,Yes,14,"Variety code: Sungold F1"
"VTO122                                                 cherry                14-18                red                                                                                      sweet flavour; AAS winner","Crokini F1",sweetcorn,85,0,Yes,14,"Variety code: Crokini F1"
"VTO132                                              mini plum              15-20                red                                                                                      large yield of sweet flavoured fruits","Floridity F1",sweetcorn,70,0,Yes,14,"Variety code: Floridity F1"
"VTO025                                                  mini plum              15-20              yellow                                                                                     attractive colour, sweet flavour","Miele F1",sweetcorn,70,0,Yes,14,"Variety code: Miele F1"
"VTO030                                              round                 15-20              orange                                                                                     high sugar content, excellent flavour","Bottondoro F1",sweetcorn,85,0,Yes,14,"Variety code: Bottondoro F1"
"VTO032                                                cherry plum             20-25                 red                                                                                     distinctive shape and flavour","Trilly F1",sweetcorn,85,0,Yes,14,"Variety code: Trilly F1"
"VTO034                                                  cocktail            20-30                red                                                                                      attractive, heavily laden clusters","Cherrola F1",sweetcorn,85,0,Yes,14,"Variety code: Cherrola F1"
"VTO054                                                    round              65-85                red                                                                                      can be harvested as clusters","Gallant F1",sweetcorn,85,0,Yes,14,"Variety code: Gallant F1"
"VTO110                                                    round              70-90                red                                                                                       suitable for cool protected production","Shirley F1",sweetcorn,85,0,Yes,14,"Variety code: Shirley F1"
"VTO080                                                    round              75-85                red                                                                                        suitable for cool protected production","Pannovy F1",sweetcorn,85,0,Yes,14,"Variety code: Pannovy F1"
"VTO078                                       New            round              90-110               red                                                                                       an improved Shirley type","Bauna F1",sweetcorn,85,0,Yes,14,"Variety code: Bauna F1"
"VTO120                                                  flat round           100-130               red                                                                                       suited to cool protected production","Sparta F1",sweetcorn,85,0,Yes,14,"Variety code: Sparta F1"
"VTO134 & VOG725              organic option New            round             130-145               red                                                                                       early cropper","Cindel F1",sweetcorn,70,0,Yes,14,"Variety code: Cindel F1"
"VTO225                                                      round             130-145               red                                                                                      long shelf life, resists splitting","Akron F1",sweetcorn,105,0,Yes,14,"Variety code: Akron F1"
"VTO450                                            beefsteak           250-350+               red                                                                                      large, juicy red fruits; seedless","Buffalosteak F1",sweetcorn,85,0,Yes,14,"Variety code: Buffalosteak F1"
"VTO452                                              beefsteak           250-350+           yellow/red                                                                                   heirloom character with hybrid vigour","Buffalosun F1",sweetcorn,85,0,Yes,14,"Variety code: Buffalosun F1"
"VTO448                                                beefsteak           900-1400               red                                                                                      huge tasty fruits","Knockout F1",sweetcorn,85,0,Yes,14,"Variety code: Knockout F1"
"VTO610                                                      n/a                 n/a                n/a                                                                                        rootstock","Arnold F1",sweetcorn,85,0,Yes,14,"Variety code: Arnold F1"
"VTO615                                                   n/a                 n/a                n/a                                                                                        rootstock","Protector F1",sweetcorn,85,0,Yes,14,"Variety code: Protector F1"
"Honey Delight",,sweetcorn,85,0,Yes,14,
"Ailsa Craig (not shown)                                        VTO250 Moneymaker                                                            Pannovy",VTO180,tomato,85,0,Yes,14,"Variety code: VTO180"
"F1 Honey Delight",VTO062,tomato,85,0,Yes,14,"Variety code: VTO062"
Gallant,,sweetcorn,85,0,Yes,14,
"We could not fit all our",,sweetcorn,85,0,Yes,14,
Bauna,,sweetcorn,85,0,Yes,14,
"F1 Orange",VTO446,tomato,85,0,Yes,14,"Variety code: VTO446"
Wellington,,sweetcorn,85,0,Yes,14,
"F1 Bauna NEW                                                                 VTO150 F1 Golden Shine                  Smooth, orange fruit with vibrant",VTO078,tomato,85,0,Yes,14,"Variety code: VTO078"
"Super Marmande",,sweetcorn,85,0,Yes,14,
"F1 Buffalosteak",VTO450,tomato,85,0,Yes,14,"Variety code: VTO450"
"F1 Sparta                                                                                                            Fruits typically 250-350 grams in",VTO120,tomato,85,0,Yes,14,"Variety code: VTO120"
Buffalosun,,sweetcorn,85,0,Yes,14,
Cindel,,sweetcorn,85,0,Yes,14,
"Crimson Crush",,sweetcorn,85,0,Yes,14,
"Big Pink",,sweetcorn,85,0,Yes,14,
"F1 Buffalosun",VTO452,tomato,85,0,Yes,14,"Variety code: VTO452"
"All the character and flavour of",,sweetcorn,85,0,Yes,14,
"F1 Cindel NEW                                                                                                        an heirloom variety but with the",VTO134,tomato,85,0,Yes,14,"Variety code: VTO134"
"Early cropping variety suited to",,sweetcorn,70,0,Yes,14,
"F1 Crimson Crush                                                            large, fleshy, ribbed, Beefsteak",VTO405,tomato,85,0,Yes,14,"Variety code: VTO405"
"organic seed",,sweetcorn,85,0,Yes,14,
"F1 Cindel                         semi-determinate variety if needed.        (1-3), Fol (0&1) and Va (0).            Va, Vd, Pi, TSWV (T0).",VOG725,tomato,85,0,Yes,14,"Variety code: VOG725"
"Veranda                                    T",,sweetcorn,85,0,Yes,14,
"smallest first",,sweetcorn,85,0,Yes,14,
"F1 Veranda",VTO484,tomato,85,0,Yes,14,"Variety code: VTO484"
"F1 Knockout                                                                                                                          fruits are cherry sized with an attractive",VTO448,tomato,85,0,Yes,14,"Variety code: VTO448"
"F1 Big Daddy                                               This variety produces probably the",VTO436,tomato,85,0,Yes,14,"Variety code: VTO436"
"Cherry Falls",,sweetcorn,85,0,Yes,14,
"Code                            Pathogen",,sweetcorn,85,0,Yes,14,
"Using a roostock can improve",,sweetcorn,85,0,Yes,14,
Pst,,sweetcorn,85,0,Yes,14,
tomato,,tomato,85,0,Yes,14,
Xcv,,sweetcorn,85,0,Yes,14,
vesicatoria,,sweetcorn,85,0,Yes,14,
Fol,,sweetcorn,85,0,Yes,14,
For,,sweetcorn,85,0,Yes,14,
radicis-lycopersici,,sweetcorn,85,0,Yes,14,
"mixed baskets but the compact",,sweetcorn,85,0,Yes,14,
"Vd                         Verticillium dahliae",,sweetcorn,85,0,Yes,14,
"Mj                       Meloidogyne javanica",,sweetcorn,85,0,Yes,14,
Containers,,sweetcorn,85,0,Yes,14,
"VTO484                                              cherry               12-16                 red                                                                                                       versatile container variety","Veranda F1",sweetcorn,85,0,Yes,14,"Variety code: Veranda F1"
"VTO320                                              cherry               12-16                 red                                                                                                      cascading habit for baskets and pots","Tumbler F1",sweetcorn,85,0,Yes,14,"Variety code: Tumbler F1"
"VTO520                                              cherry               14-18                 red                                                                                                       a credible alternative to Tumbler","Terenzo F1",sweetcorn,85,0,Yes,14,"Variety code: Terenzo F1"
"VTO530                                             cocktail             25-35               orange                                                                                                      intensely sweet fruits","Orangeto F1",sweetcorn,85,0,Yes,14,"Variety code: Orangeto F1"
"VTO310                                                 round               60-80                 red                                                                                                       dwarf variety, masses of tasty fruits","Totem F1",sweetcorn,85,0,Yes,14,"Variety code: Totem F1"
"VTO590                                             round             160-180                 red                                                                                                      ideal for containers and patios","BushSteak F1",sweetcorn,85,0,Yes,14,"Variety code: BushSteak F1"
